Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols.1,Assis..1,G+A.1,G-PB.1,G+A-PB,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div.1,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Gianmarco Mancarella,LT,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joakim Milli,G,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilario Monterisi,ZG,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuele Oltremarini,AT,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Rossettini,ZG,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massimo Schirone,LT,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauro Vigorito,G,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tijjani Reijnders,LT,25.0,36,33,2.82,31.3,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.2,3.2,3.7,70.0,88.0,204.0,90.0,10.0,10.0,19.0,10.0,19.0,10.0,12.0,22.0,10.0,22.0,46.0,25.0,10.0,31.0,5.0,21.0,43.0,488.0,22.0,26.0,8.0,18.0,18.0,64.0,26.0,0.0
Christian Pulisic,"AT,LT",24.0,36,32,2.602,28.9,12.0,8.0,20.0,12.0,0.0,0.0,2.0,0.0,8.0,8.0,4.8,128.0,131.0,87.0,293.0,42.0,28.0,69.0,42.0,69.0,28.0,16.0,44.0,28.0,44.0,35.0,26.0,14.0,11.0,10.0,17.0,30.0,567.0,13.0,20.0,1.0,19.0,10.0,45.0,10.0,1.0
Theo Hernández,ZG,25.0,32,31,2.791,31.0,5.0,4.0,9.0,4.0,1.0,2.0,11.0,1.0,4.9,3.4,4.3,77.0,115.0,166.0,124.0,16.0,13.0,29.0,13.0,26.0,16.0,14.0,30.0,11.0,25.0,30.0,17.0,19.0,11.0,0.0,11.0,22.0,500.0,11.0,33.0,13.0,20.0,23.0,53.0,42.0,1.0
Mike Maignan,G,28.0,29,29,2.609,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0
Rafael Leão,AT,24.0,34,29,2.512,27.9,9.0,9.0,18.0,9.0,0.0,0.0,5.0,0.0,10.0,10.0,9.1,191.0,160.0,117.0,293.0,32.0,32.0,64.0,32.0,64.0,36.0,32.0,68.0,36.0,68.0,16.0,10.0,3.0,8.0,5.0,8.0,13.0,615.0,5.0,15.0,1.0,14.0,9.0,25.0,19.0,0.0
Olivier Giroud,AT,36.0,35,28,2.363,26.3,15.0,8.0,23.0,11.0,4.0,5.0,1.0,1.0,14.2,10.2,4.7,149.0,9.0,28.0,95.0,57.0,30.0,88.0,42.0,72.0,54.0,18.0,72.0,39.0,57.0,17.0,11.0,6.0,6.0,5.0,2.0,14.0,143.0,12.0,14.0,3.0,11.0,6.0,23.0,22.0,0.0
Davide Calabria,ZG,26.0,29,26,2.185,24.3,1.0,3.0,4.0,1.0,0.0,0.0,5.0,2.0,1.3,1.3,1.2,25.0,31.0,140.0,66.0,4.0,12.0,16.0,4.0,16.0,5.0,5.0,10.0,5.0,10.0,70.0,38.0,38.0,25.0,7.0,44.0,72.0,611.0,28.0,26.0,7.0,19.0,24.0,94.0,49.0,1.0
Ruben Loftus-Cheek,LT,27.0,29,26,2.068,23.0,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,3.7,3.7,2.4,61.0,73.0,74.0,113.0,26.0,4.0,30.0,26.0,30.0,16.0,10.0,26.0,16.0,26.0,28.0,18.0,7.0,14.0,7.0,15.0,27.0,556.0,12.0,24.0,12.0,12.0,9.0,37.0,10.0,1.0
Fikayo Tomori,ZG,25.0,26,24,2.121,23.6,4.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,3.7,3.7,0.2,39.0,16.0,63.0,2.0,17.0,0.0,17.0,17.0,17.0,16.0,1.0,16.0,16.0,16.0,42.0,24.0,29.0,10.0,3.0,18.0,29.0,621.0,11.0,34.0,23.0,11.0,26.0,68.0,75.0,1.0
