Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
13.0,dom,2021-11-21,12:30,Sassuolo,3.1,2–2,1.4,Cagliari,4.135,Mapei Stadium - Città del Tricolore,Niccolò Baroni,Relatório da Partida,
13.0,dom,2021-11-21,15:00,Bologna,1.3,0–1,0.7,Venezia,15.255,Stadio Renato Dall'Ara,Daniele Chiffi,Relatório da Partida,
13.0,dom,2021-11-21,15:00,Salernitana,0.9,0–2,0.9,Sampdoria,11.849,Stadio Arechi,Piero Giacomelli,Relatório da Partida,
13.0,dom,2021-11-21,18:00,Inter,1.8,3–2,0.9,Napoli,56.649,Stadio Giuseppe Meazza,Paolo Valeri,Relatório da Partida,
13.0,dom,2021-11-21,20:45,Genoa,0.1,0–2,2.3,Roma,14.667,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Relatório da Partida,
13.0,seg,2021-11-22,18:30,Hellas Verona,1.3,2–1,1.7,Empoli,13.797,Stadio Marc'Antonio Bentegodi,Matteo Gariglio,Relatório da Partida,
13.0,seg,2021-11-22,20:45,Torino,1.7,2–1,1.2,Udinese,7.034,Stadio Olimpico di Torino,Ivan Pezzuto,Relatório da Partida,
,,,,,,,,,,,,,
14.0,sex,2021-11-26,20:45,Cagliari,1.8,1–1,0.3,Salernitana,9.7,Unipol Domus,Daniele Doveri,Relatório da Partida,
14.0,sáb,2021-11-27,15:00,Sampdoria,0.8,3–1,0.8,Hellas Verona,6.813,Stadio Comunale Luigi Ferraris,Lorenzo Maggioni,Relatório da Partida,
14.0,sáb,2021-11-27,15:00,Empoli,1.8,2–1,2.0,Fiorentina,7.878,Stadio Carlo Castellani,Juan Sacchi,Relatório da Partida,
14.0,sáb,2021-11-27,18:00,Juventus,0.8,0–1,0.5,Atalanta,29.886,Allianz Stadium,Giovanni Ayroldi,Relatório da Partida,
14.0,sáb,2021-11-27,20:45,Venezia,0.2,0–2,2.5,Inter,8.303,Stadio Pierluigi Penzo,Livio Marinelli,Relatório da Partida,
14.0,dom,2021-11-28,12:30,Udinese,1.0,0–0,0.6,Genoa,11.537,Dacia Arena,Francesco Meraviglia,Relatório da Partida,
14.0,dom,2021-11-28,15:00,Milan,0.8,1–3,1.0,Sassuolo,52.824,Stadio Giuseppe Meazza,Gianluca Manganiello,Relatório da Partida,
14.0,dom,2021-11-28,15:00,Spezia,0.7,0–1,2.6,Bologna,6.265,Stadio Alberto Picco,Luca Massimi,Relatório da Partida,
14.0,dom,2021-11-28,18:00,Roma,1.0,1–0,0.9,Torino,46.728,Stadio Olimpico,Daniele Chiffi,Relatório da Partida,
14.0,dom,2021-11-28,20:45,Napoli,1.0,4–0,0.3,Lazio,36.0,Stadio Diego Armando Maradona,Daniele Orsato,Relatório da Partida,
,,,,,,,,,,,,,
